Species,Number,Number_Per_Party_Hrs,Flags,Editorial_Comments
Wood Stork,21,0.3130,,
Magnificent Frigatebird,125,1.8629,,
Brown Booby,2,0.0298,,
Neotropic Cormorant,11,0.1639,,
Anhinga,1,0.0149,,
Brown Pelican,73,1.0879,,
Bare-throated Tiger-Heron,3,0.0447,,
Great Blue Heron (Blue form),2,0.0298,,
Great Egret,2,0.0298,,
Snowy Egret,17,0.2534,,
Little Blue Heron,3,0.0447,,
Tricolored Heron,1,0.0149,,
Cattle Egret,100,1.4903,,
Green Heron,5,0.0745,,
Yellow-crowned Night-Heron,7,0.1043,,
White Ibis,35,0.5216,,
Black Vulture,111,1.6542,,
Turkey Vulture,50,0.7452,,
King Vulture,1,0.0149,,
Osprey,1,0.0149,LC,
Common Black Hawk,7,0.1043,,
Great Black Hawk,2,0.0298,,
Roadside Hawk,14,0.2086,,
Gray Hawk,14,0.2086,,
Broad-winged Hawk,7,0.1043,,
Short-tailed Hawk,2,0.0298,,
Zone-tailed Hawk,3,0.0447,,
Red-tailed Hawk,3,0.0447,,
American Oystercatcher,8,0.1192,,
Northern Jacana,1,0.0149,LC,
Spotted Sandpiper,5,0.0745,,
Willet,6,0.0894,,
Ruddy Turnstone,5,0.0745,,
Sanderling,16,0.2385,"US, ",
Laughing Gull,14,0.2086,,
Royal Tern,47,0.7004,,
Sandwich Tern,4,0.0596,,
Rock Pigeon (Feral Pigeon),1,0.0149,LC,
Red-billed Pigeon,17,0.2534,,
Inca Dove,50,0.7452,,
Common Ground-Dove,9,0.1341,,
White-tipped Dove,40,0.5961,,
Gray-chested Dove,1,0.0149,"US, ",
White-winged Dove,44,0.6557,,
Squirrel Cuckoo,31,0.4620,,
Lesser Ground-Cuckoo,3,0.0447,,
Groove-billed Ani,57,0.8495,,
Ferruginous Pygmy-Owl,2,0.0298,,
Mottled Owl,1,0.0149,"US, ",
Common Pauraque,4,0.0596,,
Common Potoo,1,0.0149,"US, ",
Stripe-throated Hermit,9,0.1341,,
Green-breasted Mango,1,0.0149,,
Ruby-throated Hummingbird,9,0.1341,,
Canivet's Emerald,2,0.0298,,
Steely-vented Hummingbird,14,0.2086,,
Cinnamon Hummingbird,14,0.2086,,
Blue-throated Goldentail,42,0.6259,"HC, ",
Black-headed Trogon,27,0.4024,"HC, ",
Gartered Trogon,6,0.0894,,
Elegant Trogon,2,0.0298,,
Blue-crowned Motmot (Lesson's),4,0.0596,,
Turquoise-browed Motmot,4,0.0596,,
Ringed Kingfisher,5,0.0745,,
Belted Kingfisher,1,0.0149,,
Green Kingfisher,10,0.1490,"HC, ",
White-necked Puffbird,9,0.1341,,
Collared Aracari,11,0.1639,,
Keel-billed Toucan,12,0.1788,,
Hoffmann's Woodpecker,64,0.9538,,
Lineated Woodpecker,1,0.0149,"US, ",
Pale-billed Woodpecker,11,0.1639,"HC, ",
Collared Forest-Falcon,1,0.0149,,
Crested Caracara,8,0.1192,,
Laughing Falcon,3,0.0447,,
American Kestrel,4,0.0596,,
Bat Falcon,7,0.1043,"HC, ",
Peregrine Falcon,2,0.0298,,
Orange-chinned Parakeet,115,1.7139,,
Yellow-naped Parrot,49,0.7303,"HC, ",
White-fronted Parrot,127,1.8927,,
Mealy Parrot,2,0.0298,,
Orange-fronted Parakeet,234,3.4873,,
Barred Antshrike,9,0.1341,,
Black-crowned Antshrike,3,0.0447,,
Dusky Antbird,4,0.0596,,
Spotted Antbird,13,0.1937,"HC, ",
Olivaceous Woodcreeper,5,0.0745,,
Ruddy Woodcreeper,1,0.0149,,
Northern Barred-Woodcreeper,10,0.1490,,
Cocoa Woodcreeper,1,0.0149,,
Ivory-billed Woodcreeper,2,0.0298,,
Black-striped Woodcreeper,1,0.0149,,
Streak-headed Woodcreeper,14,0.2086,,
Northern Beardless-Tyrannulet,5,0.0745,,
Greenish Elaenia,3,0.0447,,
Yellow-bellied Elaenia,2,0.0298,,
Common Tody-Flycatcher,6,0.0894,,
Yellow-olive Flycatcher,16,0.2385,,
Stub-tailed Spadebill,1,0.0149,,
Olive-sided Flycatcher,1,0.0149,"US, ",
Western Wood-Pewee,1,0.0149,,
Eastern Wood-Pewee,2,0.0298,,
Yellow-bellied Flycatcher,17,0.2534,,
Bright-rumped Attila,4,0.0596,,
Dusky-capped Flycatcher,22,0.3279,,
Ash-throated Flycatcher,2,0.0298,,
Nutting's Flycatcher,2,0.0298,,
Great Crested Flycatcher,9,0.1341,,
Brown-crested Flycatcher,19,0.2832,,
Great Kiskadee,71,1.0581,"HC, ",
Boat-billed Flycatcher,39,0.5812,"HC, ",
Social Flycatcher,28,0.4173,"HC, ",
Tropical Kingbird,20,0.2981,,
Western Kingbird,3,0.0447,,
Eastern Kingbird,2,0.0298,"US, ",
Scissor-tailed Flycatcher,1,0.0149,LC,
Long-tailed Manakin,11,0.1639,,
Masked Tityra,16,0.2385,"HC, ",
Rose-throated Becard,15,0.2235,"HC, ",
Yellow-throated Vireo,11,0.1639,,
Philadelphia Vireo,11,0.1639,,
Red-eyed Vireo,1,0.0149,"US, ",
Yellow-green Vireo,1,0.0149,,
Lesser Greenlet,22,0.3279,,
Rufous-browed Peppershrike,1,0.0149,"US, ",
White-throated Magpie-Jay,155,2.3100,,
Gray-breasted Martin,8,0.1192,,
Barn Swallow,106,1.5797,,
Rufous-naped Wren,85,1.2668,,
Banded Wren,21,0.3130,"HC, ",
Rufous-and-white Wren,12,0.1788,,
Plain Wren,13,0.1937,,
Long-billed Gnatwren,1,0.0149,,
White-lored Gnatcatcher,22,0.3279,,
Tropical Gnatcatcher,5,0.0745,,
Wood Thrush,1,0.0149,,
Clay-colored Thrush,19,0.2832,,
Ovenbird,2,0.0298,,
Worm-eating Warbler,1,0.0149,,
Louisiana Waterthrush,3,0.0447,,
Northern Waterthrush,4,0.0596,,
Black-and-white Warbler,5,0.0745,,
Tennessee Warbler,27,0.4024,,
Hooded Warbler,1,0.0149,"US, ",
Northern Parula,2,0.0298,"US, ",
Tropical Parula,2,0.0298,,
Magnolia Warbler,1,0.0149,"US, ",
Yellow Warbler,40,0.5961,,
Chestnut-sided Warbler,1,0.0149,,
Rufous-capped Warbler,16,0.2385,"HC, ",
Gray-headed Tanager,14,0.2086,"HC, ",
Blue-gray Tanager,11,0.1639,,
Blue-black Grassquit,2,0.0298,,
Grayish Saltator,2,0.0298,,
Stripe-headed Sparrow,12,0.1788,,
Olive Sparrow,2,0.0298,,
Summer Tanager,14,0.2086,,
Western Tanager,6,0.0894,,
Blue Grosbeak,2,0.0298,,
Indigo Bunting,1,0.0149,,
Painted Bunting,3,0.0447,,
Dickcissel,20,0.2981,,
Melodious Blackbird,15,0.2235,,
Great-tailed Grackle,122,1.8182,,
Streak-backed Oriole,34,0.5067,"HC, ",
Spot-breasted Oriole,5,0.0745,"HC, ",
Baltimore Oriole,4,0.0596,,
Montezuma Oropendola,51,0.7601,,
Scrub Euphonia,26,0.3875,,
Yellow-crowned Euphonia,8,0.1192,,
Yellow-throated Euphonia,11,0.1639,,

